BusinessYear,StateCode,IssuerId,SourceName,VersionNum,ImportDate,IssuerId2,TIN,ProductId,StandardComponentId,EnrolleeContractRateDeterminationRule,TwoParentFamilyMaxDependentsRule,SingleParentFamilyMaxDependentsRule,DependentMaximumAgRule,ChildrenOnlyContractMaxChildrenRule,DomesticPartnerAsSpouseIndicator,SameSexPartnerAsSpouseIndicator,AgeDeterminationRule,MinimumTobaccoFreeMonthsRule,CohabitationRule,RowNumber,MarketCoverage,DentalOnlyPlan
2014,AZ,30045,HIOS,5,2014-03-19 07:06:49,30045,86-0274899,,30045AZ0010001,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,Not Applicable,3 or more,No,No,Age on effective date,Not Applicable,,11,,
2014,AZ,30045,HIOS,5,2014-03-19 07:06:49,30045,86-0274899,,30045AZ0010002,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,Not Applicable,3 or more,No,No,Age on effective date,Not Applicable,,12,,
2014,AZ,30045,HIOS,5,2014-03-19 07:06:49,30045,86-0274899,,30045AZ0010003,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,26,3 or more,No,No,Age on effective date,Not Applicable,"Spouse,Yes;Adopted Child,No;Foster Child,No;Brother or Sister,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No",13,,
2014,AZ,30045,HIOS,5,2014-03-19 07:06:49,30045,86-0274899,,30045AZ0010004,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,26,3 or more,No,No,Age on effective date,Not Applicable,"Spouse,Yes;Adopted Child,No;Foster Child,No;Brother or Sister,No;Ward,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Dependent on a Minor Dependent,No",14,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0540002,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",16,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0540003,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",17,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0540004,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",18,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0550001,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",19,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0550002,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",20,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0550003,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",21,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0550004,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",22,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0560001,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",23,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0560002,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",24,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0560003,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",25,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0560004,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",26,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0570001,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",27,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0580001,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",28,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0580002,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",29,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0730001,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",30,,
2014,AZ,53901,HIOS,7,2014-01-16 07:24:04,53901,86-0004538,,53901AZ0730002,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,29,3 or more,No,No,Age on effective date,6,"Spouse,No;Adopted Child,Yes;Ward,No;Stepson or Stepdaughter,Yes;Child,Yes",31,,
2014,AK,21989,HIOS,6,2014-03-19 07:06:49,21989,93-0438772,,,There are rates specifically for couples and for families (not just addition of individual rates),3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,Not Applicable,"Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes",10,,
2014,AK,21989,HIOS,6,2014-03-19 07:06:49,21989,93-0438772,21989AK001,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,Not Applicable,"Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes",11,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,91-0499247,,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No",10,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,91-0499247,38344AK052,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,6,"Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No",11,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,91-0499247,38344AK053,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,6,"Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No",12,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,91-0499247,38344AK054,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,6,"Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No",13,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,91-0499247,38344AK055,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,6,"Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No",14,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,91-0499247,38344AK056,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,6,"Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No",15,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,91-0499247,38344AK058,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,6,"Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No",16,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,91-0499247,38344AK060,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,6,"Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No",17,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,91-0499247,38344AK061,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,6,"Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No",18,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,91-0499247,38344AK062,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,6,"Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No",19,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,91-0499247,38344AK063,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,6,"Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No",20,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,91-0499247,38344AK064,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,6,"Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No",21,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,91-0499247,38344AK065,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,6,"Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No",22,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,91-0499247,38344AK057,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,6,"Spouse,No;Grandson or Granddaughter,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Dependent on a Minor Dependent,No;Guardian,No;Court Appointed Guardian,No;Life Partner,No",23,,
2014,AK,38536,HIOS,2,2013-08-01 12:48:00,38536,35-0472300,,,There are rates specifically for couples and for families (not just addition of individual rates),3 or more,3 or more,30,1,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Grandson or Granddaughter,Yes;Adopted Child,No;Foster Child,Yes;Stepson or Stepdaughter,Yes;Self,Yes;Child,No;Life Partner,No",10,,
2014,AK,42507,HIOS,3,2013-09-02 11:39:25,42507,13-5123390,,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Foster Child,No;Stepson or Stepdaughter,No;Self,No;Child,No",10,,
2014,AK,42507,HIOS,3,2013-09-02 11:39:25,42507,13-5123390,42507AK001,,,,,,,,,,,,11,,
2014,AK,42507,HIOS,3,2013-09-02 11:39:25,42507,13-5123390,42507AK002,,,,,,,,,,,,12,,
2014,AK,42507,HIOS,3,2013-09-02 11:39:25,42507,13-5123390,42507AK003,,There are rates specifically for couples and for families (not just addition of individual rates),,,26,,,,,,,13,,
2014,AK,42507,HIOS,3,2013-09-02 11:39:25,42507,13-5123390,42507AK004,,There are rates specifically for couples and for families (not just addition of individual rates),,,26,,,,,,,14,,
2014,AK,42507,HIOS,3,2013-09-02 11:39:25,42507,13-5123390,42507AK005,,There are rates specifically for couples and for families (not just addition of individual rates),,,26,,,,,,,15,,
2014,AK,42507,HIOS,3,2013-09-02 11:39:25,42507,13-5123390,42507AK006,,There are rates specifically for couples and for families (not just addition of individual rates),,,26,,,,,,,16,,
2014,AK,45858,HIOS,1,2013-06-04 08:25:28,45858,47-0098400,,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,21,3 or more,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Stepson or Stepdaughter,No;Child,No;Sponsored Dependent,No;Life Partner,No",10,,
2014,AK,73836,HIOS,6,2014-04-18 11:49:29,73836,93-0989307,,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,25,3 or more,Yes,Yes,Age on effective date,Not Applicable,"Spouse,Yes;Adopted Child,No;Stepson or Stepdaughter,No;Self,Yes;Child,No;Life Partner,Yes",10,,
2014,AK,74819,HIOS,7,2014-01-21 08:29:49,74819,95-6042390,,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,Not Applicable,1,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",10,,
2014,AK,74819,HIOS,7,2014-01-21 08:29:49,74819,95-6042390,,74819AK0010001,A different rate (specifically for parties of two or more)for each enrollee is added together,,,Not Applicable,3 or more,,,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",11,,
2014,AK,74819,HIOS,7,2014-01-21 08:29:49,74819,95-6042390,,74819AK0010002,A different rate (specifically for parties of two or more)for each enrollee is added together,,,Not Applicable,3 or more,,,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",12,,
2014,AK,74819,HIOS,7,2014-01-21 08:29:49,74819,95-6042390,,74819AK0020001,A different rate (specifically for parties of two or more)for each enrollee is added together,,,Not Applicable,3 or more,,,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",13,,
2014,AK,74819,HIOS,7,2014-01-21 08:29:49,74819,95-6042390,,74819AK0020002,A different rate (specifically for parties of two or more)for each enrollee is added together,,,Not Applicable,3 or more,,,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",14,,
2014,AK,74819,HIOS,7,2014-01-21 08:29:49,74819,95-6042390,,74819AK0010003,There are rates specifically for couples and for families (not just addition of individual rates),3 or more,3 or more,26,,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",15,,
2014,AK,74819,HIOS,7,2014-01-21 08:29:49,74819,95-6042390,,74819AK0010004,There are rates specifically for couples and for families (not just addition of individual rates),3 or more,3 or more,26,,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",16,,
2014,AK,74819,HIOS,7,2014-01-21 08:29:49,74819,95-6042390,,74819AK0010005,There are rates specifically for couples and for families (not just addition of individual rates),3 or more,3 or more,26,,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",17,,
2014,AK,74819,HIOS,7,2014-01-21 08:29:49,74819,95-6042390,,74819AK0010006,There are rates specifically for couples and for families (not just addition of individual rates),3 or more,3 or more,26,,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",18,,
2014,AK,74819,HIOS,7,2014-01-21 08:29:49,74819,95-6042390,,74819AK0020003,There are rates specifically for couples and for families (not just addition of individual rates),3 or more,3 or more,26,,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",19,,
2014,AK,74819,HIOS,7,2014-01-21 08:29:49,74819,95-6042390,,74819AK0020004,There are rates specifically for couples and for families (not just addition of individual rates),3 or more,3 or more,26,,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",20,,
2014,AK,74819,HIOS,7,2014-01-21 08:29:49,74819,95-6042390,,74819AK0020005,There are rates specifically for couples and for families (not just addition of individual rates),3 or more,3 or more,26,,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",21,,
2014,AK,74819,HIOS,7,2014-01-21 08:29:49,74819,95-6042390,,74819AK0020006,There are rates specifically for couples and for families (not just addition of individual rates),3 or more,3 or more,26,,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",22,,
2014,AK,84859,HIOS,1,2013-06-06 10:50:48,84859,93-0242990,,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,21,3 or more,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Stepson or Stepdaughter,No;Child,No;Sponsored Dependent,No;Life Partner,No",10,,
2014,AL,12538,HIOS,8,2014-01-21 08:29:49,12538,95-6042390,,,A different rate (specifically for parties of two or more)for each enrollee is added together,3 or more,3 or more,Not Applicable,1,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",10,,
2014,AL,12538,HIOS,8,2014-01-21 08:29:49,12538,95-6042390,,12538AL0010001,A different rate (specifically for parties of two or more)for each enrollee is added together,,,Not Applicable,3 or more,,,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",11,,
2014,AL,12538,HIOS,8,2014-01-21 08:29:49,12538,95-6042390,,12538AL0010002,A different rate (specifically for parties of two or more)for each enrollee is added together,,,Not Applicable,3 or more,,,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",12,,
2014,AL,12538,HIOS,8,2014-01-21 08:29:49,12538,95-6042390,,12538AL0020001,A different rate (specifically for parties of two or more)for each enrollee is added together,,,Not Applicable,3 or more,,,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",13,,
2014,AL,12538,HIOS,8,2014-01-21 08:29:49,12538,95-6042390,,12538AL0020002,A different rate (specifically for parties of two or more)for each enrollee is added together,,,Not Applicable,3 or more,,,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",14,,
2014,AL,12538,HIOS,8,2014-01-21 08:29:49,12538,95-6042390,,12538AL0010003,There are rates specifically for couples and for families (not just addition of individual rates),3 or more,3 or more,26,,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",15,,
2014,AL,12538,HIOS,8,2014-01-21 08:29:49,12538,95-6042390,,12538AL0010004,There are rates specifically for couples and for families (not just addition of individual rates),3 or more,3 or more,26,,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",16,,
2014,AL,12538,HIOS,8,2014-01-21 08:29:49,12538,95-6042390,,12538AL0010005,There are rates specifically for couples and for families (not just addition of individual rates),3 or more,3 or more,26,,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",17,,
2014,AL,12538,HIOS,8,2014-01-21 08:29:49,12538,95-6042390,,12538AL0010006,There are rates specifically for couples and for families (not just addition of individual rates),3 or more,3 or more,26,,Yes,Yes,Age on effective date,Not Applicable,"Spouse,No;Adopted Child,No;Ward,No;Stepson or Stepdaughter,No;Self,No;Child,No;Court Appointed Guardian,No;Life Partner,No",18,,
